No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Scheduled Castes population Person,Scheduled Tribes population Person,Literates Population Person,Literates Population Male,Literates Population Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Agricultural Labourers Population Person,Main Household Industries Population Person
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,117,64,53,22,0,0,69,40,29,25,24,1,1,0
19595,121216,63143,58073,24577,20477,239,54955,33250,21705,38284,28804,9480,12986,786
19595,121216,63143,58073,24577,20477,239,54955,33250,21705,38284,28804,9480,12986,786
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659,3520,1839,1681,668,17,0,1699,977,722,1005,901,104,67,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,2414,1284,1130,442,870,0,1425,870,555,635,569,66,183,44
289,1747,970,777,355,313,3,810,500,310,371,339,32,306,0
1140,7212,3811,3401,1414,323,11,3338,1997,1341,1723,1529,194,143,60
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
977,5622,2930,2692,1148,1136,34,2229,1336,893,1583,1176,407,125,49
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,1730,869,861,380,559,0,603,346,257,525,435,90,220,8
368,2184,1154,1030,347,256,17,1449,819,630,546,495,51,11,11
370,2389,1271,1118,492,281,0,849,557,292,653,533,120,138,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,1387,684,703,289,184,0,676,398,278,316,292,24,165,10
586,3409,1801,1608,762,1297,19,1379,940,439,932,719,213,418,7
486,2976,1561,1415,672,294,6,1285,792,493,1049,743,306,355,10
915,5331,2755,2576,1040,1216,10,2333,1452,881,1501,1234,267,441,37
187,1186,612,574,239,131,0,603,373,230,337,287,50,9,1
388,2502,1290,1212,571,24,0,888,606,282,777,586,191,96,4
339,1981,1050,931,327,5,0,894,602,292,630,434,196,51,0
44,211,103,108,51,208,2,44,26,18,118,59,59,104,0
885,6249,3208,3041,1244,796,4,3137,1818,1319,2053,1416,637,439,122
227,1497,771,726,318,190,0,697,356,341,736,372,364,347,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,2002,1047,955,449,549,21,725,459,266,757,469,288,155,33
261,1553,782,771,291,523,1,744,422,322,672,442,230,417,2
393,2593,1340,1253,472,547,19,1569,883,686,1013,635,378,534,11
503,3011,1563,1448,593,409,4,1457,944,513,1252,730,522,673,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1040,549,491,240,281,0,420,280,140,514,290,224,136,12
621,3818,1921,1897,779,1254,15,1698,952,746,1269,947,322,720,3
304,1880,992,888,314,181,3,864,514,350,651,503,148,51,0
162,1055,541,514,200,824,0,550,335,215,505,273,232,354,0
1403,8334,4422,3912,1596,914,23,3748,2304,1444,2142,1963,179,562,42
580,3253,1651,1602,720,1287,0,1028,604,424,832,725,107,380,7
9,52,25,27,9,0,0,20,11,9,17,11,6,0,0
392,2481,1368,1113,589,344,1,839,556,283,670,562,108,221,1
1200,7326,3654,3672,1392,590,34,3509,2002,1507,2039,1662,377,526,214
137,845,407,438,178,118,0,370,231,139,324,203,121,84,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,427,218,209,101,208,0,229,121,108,107,84,23,1,1
163,999,546,453,183,154,1,429,281,148,702,403,299,605,0
1079,6528,3464,3064,1371,944,5,2625,1652,973,2363,1644,719,1182,10
158,912,471,441,245,406,2,332,203,129,432,235,197,250,1
129,792,421,371,206,85,0,281,192,89,284,192,92,2,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,3737,1961,1776,677,507,0,2156,1242,914,1559,990,569,555,1
125,871,439,432,244,0,0,299,188,111,247,213,34,178,2
16,76,38,38,18,0,0,35,19,16,33,20,13,15,0
394,2721,1394,1327,638,338,1,1057,647,410,746,572,174,376,1
76,577,304,273,144,238,0,241,148,93,284,168,116,181,0
202,1467,758,709,306,495,2,638,392,246,370,352,18,99,0
221,1602,833,769,381,499,1,681,460,221,467,351,116,167,0
167,1289,661,628,324,98,0,560,341,219,506,324,182,156,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,586,319,267,137,0,0,207,128,79,293,158,135,228,0
107,684,351,333,141,29,0,280,163,117,214,171,43,170,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,66,36,30,14,0,0,22,11,11,22,19,3,14,0
276,1899,1017,882,316,263,0,1148,685,463,700,600,100,108,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
